0,1,2,3,4,5,6,7,8,9,10,11,12
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
RESSONÂNCIA MAGNÉTICA DE ÓRBITAS,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,RESSONÂNCIA MAGNÉTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
RESSONÂNCIA MAGNÉTICA DE OSSOS TEMPORAIS,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,RESSONÂNCIA MAGNÉTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
RESSONÂNCIA MAGNÉTICA DE PÉ (ANTEPÉ),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,RESSONÂNCIA MAGNÉTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
RESSONÂNCIA MAGNÉTICA DE PELVE,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,RESSONÂNCIA MAGNÉTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
RESSONÂNCIA MAGNÉTICA DE PÊNIS,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,RESSONÂNCIA MAGNÉTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
RESSONÂNCIA MAGNÉTICA DE PERNA,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,RESSONÂNCIA MAGNÉTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"RESSONÂNCIA MAGNÉTICA DE PESCOÇO (NASOFARINGE, OROFARINGE, LARINGE, TRAQUÉIA, TIREÓIDE,
PARATIREÓIDE)",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,RESSONÂNCIA MAGNÉTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
RESSONÂNCIA MAGNÉTICA DE PLEXO BRAQUIAL (DESFILADEIRO TORÁCICO) OU LOMBOSSACRAL,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,RESSONÂNCIA MAGNÉTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
RESSONÂNCIA MAGNÉTICA DE SELA TÚRCICA (HIPÓFISE),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,RESSONÂNCIA MAGNÉTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
